City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
2,Atuona,PF,78.96,overcast clouds,-9.8,-139.0333,Villa Enata
3,Kavieng,PG,84.56,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
4,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
5,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Butaritari,KI,80.22,light rain,3.0707,172.7902,Isles Sunset Lodge
14,Rikitea,PF,79.2,light rain,-23.1203,-134.9692,People ThankYou
27,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,Le four à pain
28,Mildura,AU,76.06,clear sky,-34.2,142.15,Mercure Hotel Mildura
31,Moerai,PF,80.19,light rain,-22.4333,-151.3333,Le Manotel
48,Karratha,AU,93.16,few clouds,-20.7377,116.8463,ibis Styles Karratha
49,Gunnedah,AU,89.19,light rain,-30.9833,150.25,Gunnedah Motor Inn
52,Carnarvon,AU,81.37,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
53,Tual,ID,83.41,broken clouds,-5.6667,132.75,Grand Vilia Hotel
54,Auki,SB,86.07,overcast clouds,-8.7676,160.7034,Auki Motel
55,Puerto Ayora,EC,77.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
59,Camacari,BR,82.17,overcast clouds,-12.6975,-38.3242,Sítio Blasi
66,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
68,Siocon,PH,84.22,scattered clouds,7.7061,122.1353,ABS Hotel
71,Manta,EC,78.58,scattered clouds,-0.95,-80.7333,Balandra Hotel
76,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
79,Kismayo,SO,77.09,broken clouds,-0.3582,42.5454,Agan-Hotel
81,Bairiki,KI,87.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
82,Sao Jose De Ribamar,BR,80.98,overcast clouds,-2.5619,-44.0542,Hotel e Restaurante Mediterrânea
92,Alice Springs,AU,78.35,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
106,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
111,Sibolga,ID,76.6,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
115,Hithadhoo,MV,80.89,few clouds,-0.6,73.0833,Scoop Guest House
120,Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
127,Catia La Mar,VE,80.8,scattered clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
131,Ballina,AU,86.02,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
132,Domoni,KM,79.02,overcast clouds,-12.2569,44.5319,Al Djadid
133,Flinders,AU,84.18,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
138,Dicabisagan,PH,78.13,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
144,Isangel,VU,83.8,overcast clouds,-19.55,169.2667,Tanna Lodge
146,Port-Gentil,GA,80.22,scattered clouds,-0.7193,8.7815,Fengshui Residence
152,Geraldton,AU,90.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
169,Sola,VU,81.57,overcast clouds,-13.8833,167.55,Leumerus Bungalows
176,Cartagena,CO,76.62,clear sky,10.3997,-75.5144,Hotel Colombia Real - Cartagena
181,Mont-Dore,NC,89.58,broken clouds,-22.2833,166.5833,GIte
182,Harper,LR,78.84,few clouds,4.375,-7.7169,Screensaver
188,Lorengau,PG,84.29,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
189,Kimbe,PG,80.55,light rain,-5.5502,150.1429,Kimbe Bay Hotel
200,San Pedro,PH,84.31,few clouds,14.35,121.0167,The Palines Apartment and Guesthouse
205,Finschhafen,PG,85.59,broken clouds,-6.6024,147.8681,Oasis Gagidu Ltd
