City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Port Elizabeth,ZA,-33.918,25.5701,68.31,99,3,3.62,clear sky
1,Awjilah,LY,29.1081,21.2869,50.94,65,2,14.36,clear sky
2,Atuona,PF,-9.8,-139.0333,78.96,76,92,22.03,overcast clouds
3,Kavieng,PG,-2.5744,150.7967,84.56,68,86,8.16,overcast clouds
4,Avarua,CK,-21.2078,-159.775,78.85,83,75,17.27,light rain
5,Kapaa,US,22.0752,-159.319,79.12,77,75,10.36,light rain
6,Butaritari,KI,3.0707,172.7902,80.22,79,100,16.82,light rain
7,Sitka,US,57.0531,-135.33,39.09,81,100,16.11,moderate rain
8,Dolores,AR,-36.3132,-57.6792,65.79,93,10,7.7,light rain
9,Walla Walla,US,46.0646,-118.343,35.51,69,0,5.01,clear sky
10,Bredasdorp,ZA,-34.5322,20.0403,65.07,96,16,4.68,few clouds
11,Mataura,NZ,-46.1927,168.8643,72.46,68,100,3.4,overcast clouds
12,Malanje,AO,-9.5402,16.341,62.08,96,99,2.04,overcast clouds
13,Traverse City,US,44.7631,-85.6206,13.01,73,100,9.22,overcast clouds
14,Rikitea,PF,-23.1203,-134.9692,79.2,72,6,14.54,light rain
15,Pangnirtung,CA,66.1451,-65.7125,-20.72,71,100,4.74,overcast clouds
16,Kysyl-Syr,RU,63.8986,122.7617,-22.43,97,100,7.67,overcast clouds
17,Punta Arenas,CL,-53.15,-70.9167,53.71,62,20,21.85,few clouds
18,Barrow,US,71.2906,-156.7887,-5.78,77,0,23.02,clear sky
19,Narsaq,GL,60.9167,-46.05,17.82,94,100,3.8,overcast clouds
20,Lavrentiya,RU,65.5833,-171.0,15.06,99,100,4.47,overcast clouds
21,Mahebourg,MU,-20.4081,57.7,75.25,77,100,12.01,overcast clouds
22,Lompoc,US,34.6391,-120.4579,54.79,71,0,14.0,clear sky
23,Road Town,VG,18.4167,-64.6167,75.29,67,1,19.91,clear sky
24,Busselton,AU,-33.65,115.3333,71.76,42,0,14.18,clear sky
25,Tasiilaq,GL,65.6145,-37.6368,10.56,75,98,6.51,overcast clouds
26,New Norfolk,AU,-42.7826,147.0587,60.91,43,99,5.01,overcast clouds
27,Saint-Philippe,RE,-21.3585,55.7679,76.59,87,95,12.01,light rain
28,Mildura,AU,-34.2,142.15,76.06,47,0,12.03,clear sky
