City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Soto La Marina,MX,72.77,clear sky,23.7667,-98.2167,Hotel Chicago
9,Bengkulu,ID,82.33,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
11,Puerto Escondido,MX,78.73,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
14,Phu Ly,VN,81.01,overcast clouds,20.5411,105.9139,5 Star Apartment Central Phu Ly
15,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
16,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
17,Erzin,TR,72.14,clear sky,36.9559,36.2,Artemis Otel
18,Hithadhoo,MV,82.62,few clouds,-0.6,73.0833,Scoop Guest House
20,La Asuncion,VE,82.13,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
21,Rikitea,PF,72.18,light rain,-23.1203,-134.9692,People ThankYou
22,Malur,IN,75.07,overcast clouds,13.0075,77.9378,RG Hotels and Resort
27,Luganville,VU,82.29,broken clouds,-15.5333,167.1667,The Espiritu Hotel
28,Qufu,CN,70.9,overcast clouds,35.5967,116.9911,Qufu International Youth Hostel
29,Ponta Do Sol,PT,72.23,broken clouds,32.6667,-17.1,Hotel do Campo
30,Butaritari,KI,82.06,broken clouds,3.0707,172.7902,Isles Sunset Lodge
31,Georgetown,MY,78.75,few clouds,5.4112,100.3354,Cititel Penang
35,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
36,Bubaque,GW,81.18,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
39,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
44,Kavieng,PG,83.57,broken clouds,-2.5744,150.7967,Nusa Island Retreat
47,Shubarkuduk,KZ,73.74,clear sky,49.1447,56.4872,Sirius
48,Kapaa,US,79.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
58,Daru,PG,82.65,broken clouds,-9.0763,143.2092,Daru Lodge
63,Namatanai,PG,83.75,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
67,Atuona,PF,76.78,broken clouds,-9.8,-139.0333,Villa Enata
69,Barreirinhas,BR,75.45,few clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
70,Ananas,HT,70.41,overcast clouds,19.2466,-71.9557,
72,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
80,Bundaberg,AU,82.22,clear sky,-24.85,152.35,Takalvan Motel
83,Buraydah,SA,79.25,clear sky,26.326,43.975,Mövenpick Qassim
85,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
87,Airai,TL,82.85,few clouds,-8.9266,125.4092,
89,Bontang,ID,84.18,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
94,Faanui,PF,78.64,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
98,Antalaha,MG,73.78,light rain,-14.9003,50.2788,Hotel Vitasoa
108,Aitape,PG,84.83,overcast clouds,-3.1374,142.3475,
109,Geraldton,AU,72.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
111,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
112,Cabo San Lucas,MX,83.05,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
115,Salalah,OM,82.49,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
119,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
124,Paracuru,BR,79.11,clear sky,-3.41,-39.0306,Hotel Vento Brasil
125,Kulhudhuffushi,MV,82.29,scattered clouds,6.6221,73.07,Haajy Guest House 1
127,Quatre Cocos,MU,75.31,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
128,Kahului,US,84.22,clear sky,20.8947,-156.47,Maui Seaside Hotel
140,Buala,SB,84.34,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
149,Carnarvon,AU,73.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
151,Haapiti,PF,80.33,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
156,Boa Vista,BR,78.78,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
157,Parrita,CR,77.11,overcast clouds,9.5201,-84.3225,Beso del Viento
158,Lazaro Cardenas,MX,78.69,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
161,Isangel,VU,77.65,overcast clouds,-19.55,169.2667,Tanna Lodge
165,Poya,NC,77.32,overcast clouds,-21.35,165.15,
168,Estelle,US,84.2,clear sky,29.8458,-90.1067,Ohio
169,Sao Felix Do Xingu,BR,75.79,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
174,Vila Velha,BR,75.15,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
176,Trat,TH,82.87,broken clouds,12.5,102.5,สวนหนิง-อัศ
